Skill,Industry_Demand,Student_Interest,Skill_Gap
AB Testing,0.0,1,-1.0
AI & ML knowledge,0.0,1,-1.0
AI (Neutral),0.0,1,-1.0
AI and ML Knowledge,0.0,1,-1.0
AI and Machine learning,0.0,1,-1.0
API Key Problem Solve,0.0,1,-1.0
API Knife Practice,0.0,1,-1.0
API Knowledge,0.0,200,-200.0
API Knwonigh,0.0,1,-1.0
API Roadies,0.0,1,-1.0
API Specific Knowledge,0.0,1,-1.0
API Testing,0.0,145,-145.0
API knowledge,0.0,4,-4.0
API testers,0.0,1,-1.0
API testing,0.0,4,-4.0
API testings,0.0,2,-2.0
APITesting,0.0,1,-1.0
APIknowledge,0.0,1,-1.0
APIsTesting,0.0,1,-1.0
AR,0.0,1,-1.0
AR/CV Rearng,0.0,1,-1.0
AR/VR Knowledge,0.0,1,-1.0
ARTIFICIAL IMPRESSION,0.0,1,-1.0
ARTIFICIAL INTERNEF,0.0,1,-1.0
ARington,0.0,1,-1.0
Abstract thinking,0.0,1,-1.0
Act as Cyber Security Professional,0.0,1,-1.0
Actuarial Statistics,0.0,1,-1.0
Actuarial Studies,0.0,1,-1.0
Actuaries,0.0,1,-1.0
Adaptability,0.0,479,-479.0
Adaptability to new idea,0.0,2,-2.0
Adaptable,0.0,2,-2.0
Adaptibility,0.0,3,-3.0
Adaption,0.0,7,-7.0
Adaption to New Ideas,0.0,1,-1.0
Adaption to new idea,0.0,1,-1.0
Adaption to new think,0.0,1,-1.0
Adaptive Boosting,0.0,1,-1.0
Adaptiveness,0.0,1,-1.0
Adjustment to new situation,0.0,1,-1.0
Administration,0.0,2,-2.0
Administration of Cyber Security,0.0,1,-1.0
Administrative Work,0.0,1,-1.0
Adobe Flash Professional,0.0,1,-1.0
Adobe Illustrator,0.0,2,-2.0
Adobe Layout,0.0,1,-1.0
Adobe Layouts,0.0,1,-1.0
Adobe Photoshop,0.0,2,-2.0
Adolescent Education,0.0,1,-1.0
Adult Education,0.0,1,-1.0
Advanced Computer Sciences,0.0,1,-1.0
Advanced Computer Technology,0.0,1,-1.0
Advertising Arts,0.0,1,-1.0
Agile Methodology,0.0,1,-1.0
Airport Security,0.0,1,-1.0
Algorithm Development,0.0,1,-1.0
Algorithm Generation,0.0,1,-1.0
Algorithm Selection and Analysis,0.0,1,-1.0
Algorithm Solution,0.0,1,-1.0
Algorithm Testing,0.0,1,-1.0
Algorithm Testing Literature Sheet,0.0,1,-1.0
Algorithm Testing Tools,0.0,1,-1.0
Algorithm Training,0.0,1,-1.0
Analysis,0.0,1,-1.0
Analytics,0.0,3,-3.0
Analyzing Data,0.0,1,-1.0
Android Apk Create,0.0,1,-1.0
Android App,0.0,1,-1.0
Android App Create,0.0,1,-1.0
Android App Develop,0.0,263,-263.0
Android App Develop.,0.0,2,-2.0
Android App Development,0.0,7,-7.0
Android App Make,0.0,2,-2.0
Android Application Develop,0.0,6,-6.0
Android Application Testing Lab,0.0,1,-1.0
Android Application develop,0.0,1,-1.0
Android Application ready,0.0,1,-1.0
Android Based Project Develop,0.0,1,-1.0
Android Basics,0.0,1,-1.0
Android Game Develop,0.0,1,-1.0
Android Mobile App Develop,0.0,1,-1.0
Android Smartphone Built,0.0,1,-1.0
Android Studio Preparedness,0.0,1,-1.0
Android Studio Updates and Installations,0.0,1,-1.0
Android Track,0.0,1,-1.0
Android app develop,0.0,1,-1.0
Android app developing,0.0,1,-1.0
Android application develop,0.0,1,-1.0
AndroidAppDevelop,0.0,1,-1.0
Animal Science,0.0,1,-1.0
Animations and Videos Make,0.0,1,-1.0
Antiguity,0.0,1,-1.0
Api Testing,0.0,3,-3.0
Api knowledge,0.0,3,-3.0
Api knowledge test,0.0,1,-1.0
Api tester,0.0,2,-2.0
Api testing,0.0,116,-116.0
Api testing & performance assessment,0.0,1,-1.0
Api testling,0.0,1,-1.0
Apitesting,0.0,2,-2.0
Aplikasi Unknown,0.0,1,-1.0
App Development,0.0,1,-1.0
Application Development,0.0,2,-2.0
Application Security,0.0,1,-1.0
Arbitrary Pricing,0.0,1,-1.0
Arbitration,0.0,1,-1.0
Architecture,0.0,1,-1.0
Arduino Learn,0.0,1,-1.0
Arduino Training,0.0,1,-1.0
Arithmetic,0.0,1,-1.0
Around the world,0.0,1,-1.0
Aroundthecorner course,0.0,1,-1.0
Art Leadership,0.0,1,-1.0
Art direction,0.0,1,-1.0
Artefacts Review,0.0,1,-1.0
Articial Intelligence Certificate,0.0,1,-1.0
Article Writing,0.0,2,-2.0
Articulation,0.0,1,-1.0
Artifact Critique and Editing,0.0,1,-1.0
Artifact Review and Commentary,0.0,1,-1.0
Artifact Urging,0.0,1,-1.0
Artifactual Synthesis,0.0,1,-1.0
Artifical Intelligence (AI),0.0,1,-1.0
Artifical Intelligence (AI) and Machine Learning,0.0,2,-2.0
Artificate IoT,0.0,1,-1.0
Artificate in Blockchain,0.0,1,-1.0
Artifice,0.0,1,-1.0
Artificial Intellectual Control (AIC),0.0,1,-1.0
Artificial Intelligence,0.0,4,-4.0
Artificial Intelligence (AI),0.0,480,-480.0
Artificial Intelligence (AI) & Machine Learning,0.0,2,-2.0
Artificial Intelligence (AI) and ML,0.0,1,-1.0
Artificial Intelligence (AI) and Machine Learn,0.0,1,-1.0
Artificial Intelligence (AI) and Machine Learning,0.0,576,-576.0
